	Name	Square	Population	Workers	MeanMonthIncome	MeanMonthCost	MeanMonthSalary	GDP	CapitalInvestments	Funds	MineralsVolume	ManufactoreVolume	EnergyVolume	WaterVolume	AgricultureVolume	VegetableVolume	AnimalVolume	NewBuildingSquare	RetailOverturn	FinResult
2	Белгородская область	27.1	1549.9	757.9	30074.0	22073.0	29066.0	730562.0	139209.0	1501847.0	116588.0	629093.0	27031.0	10614.0	227267.4	69828.2	157439.2	1300.5	315389.9	138538.0
3	Брянская область	34.9	1211.0	530.2	26402.0	20629.0	24743.0	285847.9	54769.0	794829.0	277.0	191019.0	16064.0	7347.0	84470.0	31458.9	53011.1	558.3	234367.2	17432.0
4	Владимирская область	29.1	1378.3	640.6	23988.0	17813.0	26975.0	392051.8	79555.0	842074.0	4004.0	406484.0	33308.0	9987.0	28987.1	10672.5	18314.5	695.4	211869.5	32668.0
5	Воронежская область	52.2	2333.8	1102.1	29327.0	23825.0	28007.0	841375.7	294169.0	1841669.0	6283.0	422944.0	88207.0	12116.0	193876.1	120821.1	73055.0	1687.3	516648.5	18249.0
6	Ивановская область	21.4	1014.6	456.3	24760.0	17000.0	23470.0	179633.4	27098.0	550729.0	755.0	133335.0	32003.0	4285.0	14909.9	5276.5	9633.4	339.8	156904.6	1594.0
7	Калужская область	29.8	1012.2	504.8	28108.0	20346.0	34332.0	373403.5	81301.0	989602.0	3672.0	672706.0	23200.0	8463.0	38538.4	17091.9	21446.5	882.3	186001.8	37477.0
8	Костромская область	60.2	643.3	290.8	24745.0	16660.0	24554.0	160705.4	20642.0	436507.0	317.0	118263.0	39628.0	3101.0	15993.0	5668.0	10325.1	310.2	97322.6	6315.0
9	Курская область	30.0	1115.2	519.6	26425.0	19343.0	27274.0	364601.7	100591.0	878321.0	67783.0	176100.0	60309.0	4582.0	130890.9	75706.9	55184.0	590.5	197188.3	56532.0
10	Липецкая область	24.0	1150.2	565.8	29294.0	22504.0	28455.0	470239.3	139900.0	1268311.0	5765.0	628043.0	25921.0	10347.0	101595.7	60542.9	41052.9	1084.2	236980.4	143885.0
11	Московская область	44.3	7503.4	3450.2	41286.0	30878.0	46836.0	3565258.0	678273.0	8044098.0	13870.0	2328071.0	279036.0	72279.0	87550.7	42942.6	44608.1	9077.7	2093604.5	400345.0
12	Орловская область	24.7	747.2	321.1	24122.0	18350.0	24811.0	213924.0	45316.0	496312.0	106.0	104211.0	13353.0	3238.0	60430.0	38573.4	21856.6	267.5	124681.0	8783.0
13	Рязанская область	39.6	1121.5	511.0	24789.0	17568.0	28819.0	336973.5	63814.0	1010570.0	1781.0	277309.0	37935.0	5163.0	52260.7	29249.1	23011.5	712.5	179999.3	31164.0
14	Смоленская область	49.8	949.3	445.9	25398.0	18038.0	26269.0	262318.0	57496.0	857817.0	1454.0	192044.0	54534.0	6839.0	22826.6	7860.7	14965.9	484.4	158253.4	12933.0
15	Тамбовская область	34.5	1033.6	482.4	25938.0	20093.0	24253.0	311433.4	111680.0	844454.0	145.0	134329.0	16099.0	3102.0	111331.8	59669.9	51661.8	839.4	194712.0	8360.0
16	Тверская область	84.2	1283.9	610.0	24077.0	18220.0	27612.0	359345.1	99966.0	1250215.0	755.0	246185.0	94874.0	6240.0	34890.8	6921.8	27969.0	585.2	216144.6	-4198.0
17	Тульская область	25.7	1491.8	719.9	27774.0	19978.0	31637.0	517740.8	127064.0	1116603.0	5548.0	629921.0	49630.0	9426.0	58398.9	35784.9	22614.0	696.8	273690.4	61932.0
18	Ярославская область	36.2	1265.7	621.1	27625.0	19454.0	30720.0	469804.9	79820.0	1311286.0	1172.0	338016.0	43671.0	9396.0	32031.3	8235.6	23795.7	753.8	224491.7	37605.0
19	г. Москва	2.6	12506.5	8730.0	62532.0	47597.0	73812.0	14299800.6	1972300.0	36604923.0	1272415.0	5589313.0	756675.0	125621.0	8517.4	5908.1	2609.3	3419.0	4521886.1	2633786.0
21	Республика Карелия	180.5	622.5	274.8	26740.0	20645.0	34434.0	233449.8	41707.0	700701.0	73729.0	93268.0	26676.0	3067.0	4153.4	1736.3	2417.1	222.3	112645.3	34159.0
22	Республика Коми	416.8	840.9	409.9	31181.0	20902.0	45689.0	546895.3	129315.0	3207276.0	314270.0	170537.0	47108.0	5715.0	9922.6	2122.9	7799.7	222.8	150198.1	73679.0
